Endpoint,Method,Scripts Where Tested
/admin/admin/ai-costs-summary,GET,Not Tested
/admin/admin/ai-evaluations,GET,Not Tested
/admin/admin/ai-evaluations/{evaluation_id},GET,Not Tested
/admin/admin/ai-judges,GET,Not Tested
/admin/admin/ai-judges,POST,Not Tested
/admin/admin/ai-judges/{ai_judge_id},DELETE,Not Tested
/admin/admin/ai-judges/{ai_judge_id},GET,Not Tested
/admin/admin/ai-judges/{ai_judge_id},PUT,Not Tested
/admin/admin/ai-writers,GET,Not Tested
/admin/admin/ai-writers,POST,Not Tested
/admin/admin/ai-writers/{writer_id},DELETE,Not Tested
/admin/admin/ai-writers/{writer_id},GET,Not Tested
/admin/admin/ai-writers/{writer_id},PUT,Not Tested
/admin/admin/contests/{contest_id}/ai-judges/{ai_judge_id},DELETE,Not Tested
/admin/admin/contests/{contest_id}/ai-judges/{ai_judge_id},POST,Not Tested
/admin/admin/contests/{contest_id}/ai-judges/{ai_judge_id}/evaluate,POST,Not Tested
/admin/admin/contests/{contest_id}/ai-submission,POST,Not Tested
/admin/admin/contests/{contest_id}/human-judges/{user_id},DELETE,Not Tested
/admin/admin/contests/{contest_id}/human-judges/{user_id},POST,Not Tested
/admin/admin/contests/{contest_id}/reset-password,PUT,Not Tested
/admin/admin/contests/{contest_id}/status,PUT,Not Tested
/admin/admin/submissions/{submission_id},DELETE,Not Tested
/admin/admin/users/,GET,Not Tested
/admin/admin/users/,POST,Not Tested
/admin/admin/users/{user_id},DELETE,Not Tested
/admin/admin/users/{user_id}/credit-history,GET,Not Tested
/admin/admin/users/{user_id}/credits,PUT,Not Tested
/admin/ai-costs-summary,GET,Not Tested
/admin/ai-evaluations,GET,Not Tested
/admin/ai-evaluations/{evaluation_id},GET,Not Tested
/admin/ai-judges,GET,Not Tested
/admin/ai-judges,POST,Not Tested
/admin/ai-judges/{ai_judge_id},DELETE,Not Tested
/admin/ai-judges/{ai_judge_id},GET,Not Tested
/admin/ai-judges/{ai_judge_id},PUT,Not Tested
/admin/ai-writers,GET,Not Tested
/admin/ai-writers,POST,Not Tested
/admin/ai-writers/{writer_id},DELETE,Not Tested
/admin/ai-writers/{writer_id},GET,Not Tested
/admin/ai-writers/{writer_id},PUT,Not Tested
/admin/contests/{contest_id}/ai-judges/{ai_judge_id},DELETE,Not Tested
/admin/contests/{contest_id}/ai-judges/{ai_judge_id},POST,Not Tested
/admin/contests/{contest_id}/ai-judges/{ai_judge_id}/evaluate,POST,Not Tested
/admin/contests/{contest_id}/ai-submission,POST,Not Tested
/admin/contests/{contest_id}/human-judges/{user_id},DELETE,Not Tested
/admin/contests/{contest_id}/human-judges/{user_id},POST,Not Tested
/admin/contests/{contest_id}/reset-password,PUT,Not Tested
/admin/contests/{contest_id}/status,PUT,Not Tested
/admin/submissions/{submission_id},DELETE,Not Tested
/admin/users/,GET,Not Tested
/admin/users/,POST,Not Tested
/admin/users/{user_id},DELETE,"tests/test_ai_agents_e2e.py, tests/test_ai_costs_e2e.py, tests/test_workflow_e2e.py"
/admin/users/{user_id}/credit-history,GET,tests/test_ai_costs_e2e.py
/admin/users/{user_id}/credits,PUT,tests/test_ai_costs_e2e.py
/ai-judges/,GET,tests/test_ai_agents_e2e.py
/ai-judges/,POST,"tests/test_ai_agents_e2e.py, tests/test_ai_costs_e2e.py"
/ai-judges/{judge_id},DELETE,"tests/test_ai_agents_e2e.py, tests/test_ai_costs_e2e.py"
/ai-judges/{judge_id},GET,"tests/test_ai_agents_e2e.py, tests/test_ai_costs_e2e.py"
/ai-judges/{judge_id},PUT,tests/test_ai_agents_e2e.py
/ai-judges/{judge_id}/evaluate,POST,tests/test_ai_costs_e2e.py
/ai-writers/,GET,tests/test_ai_agents_e2e.py
/ai-writers/,POST,"tests/test_ai_agents_e2e.py, tests/test_ai_costs_e2e.py"
/ai-writers/{writer_id},DELETE,"tests/test_ai_agents_e2e.py, tests/test_ai_costs_e2e.py"
/ai-writers/{writer_id},GET,"tests/test_ai_agents_e2e.py, tests/test_ai_costs_e2e.py"
/ai-writers/{writer_id},PUT,tests/test_ai_agents_e2e.py
/ai-writers/{writer_id}/generate,POST,tests/test_ai_costs_e2e.py
/ai/generate-text,POST,Not Tested
/api/v2/,GET,Not Tested
/api/v2/dashboard-data,GET,Not Tested
/api/v2/roadmap/item,POST,Not Tested
/api/v2/roadmap/item/{item_id},DELETE,Not Tested
/api/v2/roadmap/item/{item_id}/status,PUT,Not Tested
/api/v2/roadmap/items,GET,Not Tested
/api/v2/submissions/,GET,Not Tested
/auth/register,POST,"tests/test_ai_agents_e2e.py, tests/test_ai_costs_e2e.py, tests/test_workflow_e2e.py"
/auth/token,POST,"tests/test_ai_agents_e2e.py, tests/test_ai_costs_e2e.py, tests/test_workflow_e2e.py"
/auth/users/me,GET,"tests/test_ai_agents_e2e.py, tests/test_ai_costs_e2e.py, tests/test_workflow_e2e.py"
/contests/,GET,tests/test_workflow_e2e.py
/contests/,POST,"tests/test_ai_costs_e2e.py, tests/test_workflow_e2e.py"
/contests/{contest_id},DELETE,tests/test_workflow_e2e.py
/contests/{contest_id},GET,Not Tested
/contests/{contest_id},PUT,tests/test_workflow_e2e.py
/contests/{contest_id}/check-password,POST,tests/test_workflow_e2e.py
/contests/{contest_id}/evaluate,POST,Not Tested
/contests/{contest_id}/submissions,GET,tests/test_workflow_e2e.py
/contests/{contest_id}/submissions,POST,"tests/test_ai_costs_e2e.py, tests/test_workflow_e2e.py"
/submissions/submissions/{submission_id},DELETE,Not Tested
