Method,Endpoint
GET,/admin/admin/ai-costs-summary
GET,/admin/admin/ai-evaluations
GET,/admin/admin/ai-evaluations/{evaluation_id}
GET,/admin/admin/ai-judges
POST,/admin/admin/ai-judges
DELETE,/admin/admin/ai-judges/{ai_judge_id}
GET,/admin/admin/ai-judges/{ai_judge_id}
PUT,/admin/admin/ai-judges/{ai_judge_id}
GET,/admin/admin/ai-writers
POST,/admin/admin/ai-writers
DELETE,/admin/admin/ai-writers/{writer_id}
GET,/admin/admin/ai-writers/{writer_id}
PUT,/admin/admin/ai-writers/{writer_id}
DELETE,/admin/admin/contests/{contest_id}/ai-judges/{ai_judge_id}
POST,/admin/admin/contests/{contest_id}/ai-judges/{ai_judge_id}
POST,/admin/admin/contests/{contest_id}/ai-judges/{ai_judge_id}/evaluate
POST,/admin/admin/contests/{contest_id}/ai-submission
DELETE,/admin/admin/contests/{contest_id}/human-judges/{user_id}
POST,/admin/admin/contests/{contest_id}/human-judges/{user_id}
PUT,/admin/admin/contests/{contest_id}/reset-password
PUT,/admin/admin/contests/{contest_id}/status
DELETE,/admin/admin/submissions/{submission_id}
GET,/admin/admin/users/
POST,/admin/admin/users/
DELETE,/admin/admin/users/{user_id}
GET,/admin/admin/users/{user_id}/credit-history
PUT,/admin/admin/users/{user_id}/credits
GET,/admin/ai-costs-summary
GET,/admin/ai-evaluations
GET,/admin/ai-evaluations/{evaluation_id}
GET,/admin/ai-judges
POST,/admin/ai-judges
DELETE,/admin/ai-judges/{ai_judge_id}
GET,/admin/ai-judges/{ai_judge_id}
PUT,/admin/ai-judges/{ai_judge_id}
GET,/admin/ai-writers
POST,/admin/ai-writers
DELETE,/admin/ai-writers/{writer_id}
GET,/admin/ai-writers/{writer_id}
PUT,/admin/ai-writers/{writer_id}
DELETE,/admin/contests/{contest_id}/ai-judges/{ai_judge_id}
POST,/admin/contests/{contest_id}/ai-judges/{ai_judge_id}
POST,/admin/contests/{contest_id}/ai-judges/{ai_judge_id}/evaluate
POST,/admin/contests/{contest_id}/ai-submission
DELETE,/admin/contests/{contest_id}/human-judges/{user_id}
POST,/admin/contests/{contest_id}/human-judges/{user_id}
PUT,/admin/contests/{contest_id}/reset-password
PUT,/admin/contests/{contest_id}/status
DELETE,/admin/submissions/{submission_id}
GET,/admin/users/
POST,/admin/users/
DELETE,/admin/users/{user_id}
GET,/admin/users/{user_id}/credit-history
PUT,/admin/users/{user_id}/credits
GET,/ai-judges/
POST,/ai-judges/
DELETE,/ai-judges/{judge_id}
GET,/ai-judges/{judge_id}
PUT,/ai-judges/{judge_id}
POST,/ai-judges/{judge_id}/evaluate
GET,/ai-writers/
POST,/ai-writers/
DELETE,/ai-writers/{writer_id}
GET,/ai-writers/{writer_id}
PUT,/ai-writers/{writer_id}
POST,/ai-writers/{writer_id}/generate
POST,/ai/generate-text
GET,/api/v2/
GET,/api/v2/dashboard-data
POST,/api/v2/roadmap/item
DELETE,/api/v2/roadmap/item/{item_id}
PUT,/api/v2/roadmap/item/{item_id}/status
GET,/api/v2/roadmap/items
GET,/api/v2/submissions/
POST,/auth/register
POST,/auth/token
GET,/auth/users/me
GET,/contests/
POST,/contests/
DELETE,/contests/{contest_id}
GET,/contests/{contest_id}
PUT,/contests/{contest_id}
POST,/contests/{contest_id}/check-password
POST,/contests/{contest_id}/evaluate
GET,/contests/{contest_id}/submissions
POST,/contests/{contest_id}/submissions
DELETE,/submissions/submissions/{submission_id}
