Method,Endpoint,Variables,File
POST,/auth/register,username=ai_user1_e2e_1746381681,tests/test_ai_agents_e2e.py
POST,/auth/token,username=ai_user1_e2e_1746381681,tests/test_ai_agents_e2e.py
GET,/auth/users/me,username=ai_user1_e2e_1746381681,tests/test_ai_agents_e2e.py
POST,/auth/register,username=ai_user2_e2e_1746381681,tests/test_ai_agents_e2e.py
POST,/auth/token,username=ai_user2_e2e_1746381681,tests/test_ai_agents_e2e.py
GET,/auth/users/me,username=ai_user2_e2e_1746381681,tests/test_ai_agents_e2e.py
POST,/auth/token,username=Hefesto,tests/test_ai_agents_e2e.py
GET,/auth/users/me,username=Hefesto,tests/test_ai_agents_e2e.py
GET,/ai-writers/,user_id=21,tests/test_ai_agents_e2e.py
POST,/ai-writers/,user_id=21,tests/test_ai_agents_e2e.py
GET,/ai-writers/,user_id=21,tests/test_ai_agents_e2e.py
GET,/ai-writers/1,user_id=21,tests/test_ai_agents_e2e.py
PUT,/ai-writers/1,user_id=21,tests/test_ai_agents_e2e.py
GET,/ai-writers/1,user_id=21,tests/test_ai_agents_e2e.py
GET,/ai-writers/,user_id=22,tests/test_ai_agents_e2e.py
GET,/ai-writers/1,user_id=22,tests/test_ai_agents_e2e.py
PUT,/ai-writers/1,user_id=22,tests/test_ai_agents_e2e.py
POST,/ai-writers/,user_id=22,tests/test_ai_agents_e2e.py
GET,/ai-writers/,user_id=22,tests/test_ai_agents_e2e.py
DELETE,/ai-writers/1,user_id=22,tests/test_ai_agents_e2e.py
GET,/ai-judges/,user_id=21,tests/test_ai_agents_e2e.py
POST,/ai-judges/,user_id=21,tests/test_ai_agents_e2e.py
GET,/ai-judges/,user_id=21,tests/test_ai_agents_e2e.py
GET,/ai-judges/1,user_id=21,tests/test_ai_agents_e2e.py
PUT,/ai-judges/1,user_id=21,tests/test_ai_agents_e2e.py
GET,/ai-judges/1,user_id=21,tests/test_ai_agents_e2e.py
GET,/ai-judges/,user_id=22,tests/test_ai_agents_e2e.py
GET,/ai-judges/1,user_id=22,tests/test_ai_agents_e2e.py
PUT,/ai-judges/1,user_id=22,tests/test_ai_agents_e2e.py
POST,/ai-judges/,user_id=22,tests/test_ai_agents_e2e.py
GET,/ai-judges/,user_id=22,tests/test_ai_agents_e2e.py
DELETE,/ai-judges/1,user_id=22,tests/test_ai_agents_e2e.py
GET,/ai-writers/,admin,tests/test_ai_agents_e2e.py
GET,/ai-judges/,admin,tests/test_ai_agents_e2e.py
GET,/ai-writers/1,admin,tests/test_ai_agents_e2e.py
GET,/ai-judges/2,admin,tests/test_ai_agents_e2e.py
PUT,/ai-writers/1,admin,tests/test_ai_agents_e2e.py
PUT,/ai-judges/2,admin,tests/test_ai_agents_e2e.py
DELETE,/ai-writers/1,admin,tests/test_ai_agents_e2e.py
DELETE,/ai-judges/2,admin,tests/test_ai_agents_e2e.py
GET,/ai-writers/,user_id=21,tests/test_ai_agents_e2e.py
GET,/ai-writers/1,user_id=21,tests/test_ai_agents_e2e.py
DELETE,/ai-judges/1,user_id=21,tests/test_ai_agents_e2e.py
GET,/ai-judges/,user_id=21,tests/test_ai_agents_e2e.py
GET,/ai-writers/,user_id=22,tests/test_ai_agents_e2e.py
DELETE,/ai-writers/2,user_id=22,tests/test_ai_agents_e2e.py
GET,/ai-writers/,user_id=22,tests/test_ai_agents_e2e.py
GET,/ai-judges/,user_id=22,tests/test_ai_agents_e2e.py
GET,/ai-judges/2,user_id=22,tests/test_ai_agents_e2e.py
POST,/auth/token,username=Hefesto,tests/test_ai_agents_e2e.py
GET,/auth/users/me,username=Hefesto,tests/test_ai_agents_e2e.py
